date	hour	completed_rides_namma	total_earnings_namma	completed_rides_taxi	total_earnings_taxi
10-06-2023	0	436	85862	5710	149256.26
10-06-2023	1	213	44927	4685	112927.04
10-06-2023	2	91	19936	3675	86665.25
10-06-2023	3	66	12133	2290	54519.34
10-06-2023	4	77	18605	1117	28073.63
10-06-2023	5	231	35715	586	22889.48
10-06-2023	6	481	77199	980	34994.43
10-06-2023	7	1076	164662	1615	49727.91
10-06-2023	8	1844	289315	2249	63067.57
10-06-2023	9	2307	350344	3496	92977.69
10-06-2023	10	2851	409974	4501	112423.38
10-06-2023	11	3153	458327	5110	129596.25
10-06-2023	12	3144	453689	5724	154981.73
10-06-2023	13	3335	473725	5873	161160.25
10-06-2023	14	3220	448146	5997	168489.8
10-06-2023	15	3205	455136	6548	185603.77
10-06-2023	16	3445	500508	6443	180547.63
10-06-2023	17	3730	544130	6842	179275.1
10-06-2023	18	3670	500312	6910	176704.17
10-06-2023	19	1208	106047	6658	170655.75
25-07-2023	0	482	0	1583	60759.16
25-07-2023	1	286	0	655	19259.94
25-07-2023	2	130	0	342	10674.13
25-07-2023	3	94	0	215	7296.61
25-07-2023	4	168	0	232	9274.16
25-07-2023	5	556	0	597	23173.45
25-07-2023	6	1766	0	1727	50190.29
25-07-2023	7	6632	0	3369	88084.52
25-07-2023	8	12462	0	5003	130990.75
25-07-2023	9	15606	0	5222	140218.29
25-07-2023	10	12946	0	5086	141191.77
25-07-2023	11	9792	0	5318	147713.21
25-07-2023	12	7984	0	5671	155718.87
25-07-2023	13	7278	0	5866	164343.97
25-07-2023	14	7296	0	6692	188385.64
25-07-2023	15	9924	0	7773	208712.73
25-07-2023	16	11870	0	6981	213736.38
25-07-2023	17	12828	0	6869	204615.53
25-07-2023	18	14022	0	6975	193524.1
25-07-2023	19	11702	0	5841	160583.84
25-07-2023	20	9992	0	5671	161119.59
25-07-2023	21	6600	0	6189	170342.32
25-07-2023	22	3900	0	5113	146915.38
25-07-2023	23	1294	0	3888	125777.45
31-07-2023	0	1046	0	1801	61576.28
31-07-2023	1	702	0	1326	43457.08
31-07-2023	2	246	0	605	17730.77
31-07-2023	3	194	0	360	13351.73
31-07-2023	4	490	0	379	15738.25
31-07-2023	5	1246	0	675	26528.27
31-07-2023	6	2610	0	1532	47563.18
31-07-2023	7	7182	0	2747	80878.3
31-07-2023	8	13130	0	4065	111032.38
31-07-2023	9	15738	0	4207	117531.13
31-07-2023	10	12706	0	4271	117678.91
31-07-2023	11	9166	0	4504	122986.53
31-07-2023	12	7712	0	4959	137118.59
31-07-2023	13	7362	0	5110	138167.25
31-07-2023	14	7620	0	5424	156765.29
31-07-2023	15	8840	0	5544	166481.37
31-07-2023	16	10886	0	5558	172437.63
31-07-2023	17	12082	0	5967	177480.14
31-07-2023	18	13328	0	6296	182830.64
31-07-2023	19	11172	0	5119	147203.6
31-07-2023	20	8036	0	4655	137881.3
31-07-2023	21	5198	0	4663	133718.48
31-07-2023	22	2934	0	3809	121473.44
31-07-2023	23	1138	0	2430	85206.83
01-08-2023	0	526	0	1428	49527.69
01-08-2023	1	364	0	732	26138.29
01-08-2023	2	156	0	380	10748.11
01-08-2023	3	108	0	219	7298.21
01-08-2023	4	240	0	298	12312.08
01-08-2023	5	764	0	639	23468.53
01-08-2023	6	2044	0	1621	46878.3
01-08-2023	7	6908	0	3053	80337.69
01-08-2023	8	13430	0	4697	121628.1
01-08-2023	9	15974	0	4757	125095.43
01-08-2023	10	13128	0	4763	128065.33
01-08-2023	11	9628	0	4992	132675.83
01-08-2023	12	7480	0	5635	150726.75
01-08-2023	13	382	0	5617	153674.75
