date,hour,completed_rides_namma,total_earnings_namma,completed_rides_taxi,total_earnings_taxi
2023-06-10,0.0,436.0,85862.0,5710,149256.26
2023-06-10,1.0,213.0,44927.0,4685,112927.04
2023-06-10,2.0,91.0,19936.0,3675,86665.25
2023-06-10,3.0,66.0,12133.0,2290,54519.34
2023-06-10,4.0,77.0,18605.0,1117,28073.63
2023-06-10,5.0,231.0,35715.0,586,22889.48
2023-06-10,6.0,481.0,77199.0,980,34994.43
2023-06-10,7.0,1076.0,164662.0,1615,49727.91
2023-06-10,8.0,1844.0,289315.0,2249,63067.57
2023-06-10,9.0,2307.0,350344.0,3496,92977.69
2023-06-10,10.0,2851.0,409974.0,4501,112423.38
2023-06-10,11.0,3153.0,458327.0,5110,129596.25
2023-06-10,12.0,3144.0,453689.0,5724,154981.73
2023-06-10,13.0,3335.0,473725.0,5873,161160.25
2023-06-10,14.0,3220.0,448146.0,5997,168489.8
2023-06-10,15.0,3205.0,455136.0,6548,185603.77
2023-06-10,16.0,3445.0,500508.0,6443,180547.63
2023-06-10,17.0,3730.0,544130.0,6842,179275.1
2023-06-10,18.0,3670.0,500312.0,6910,176704.17
2023-06-10,19.0,1208.0,106047.0,6658,170655.75
2023-07-25,0.0,482.0,0.0,1583,60759.159999999996
2023-07-25,1.0,286.0,0.0,655,19259.94
2023-07-25,2.0,130.0,0.0,342,10674.13
2023-07-25,3.0,94.0,0.0,215,7296.61
2023-07-25,4.0,168.0,0.0,232,9274.16
2023-07-25,5.0,556.0,0.0,597,23173.45
2023-07-25,6.0,1766.0,0.0,1727,50190.29
2023-07-25,7.0,6632.0,0.0,3369,88084.52
2023-07-25,8.0,12462.0,0.0,5003,130990.75
2023-07-25,9.0,15606.0,0.0,5222,140218.29
2023-07-25,10.0,12946.0,0.0,5086,141191.77
2023-07-25,11.0,9792.0,0.0,5318,147713.21
2023-07-25,12.0,7984.0,0.0,5671,155718.87
2023-07-25,13.0,7278.0,0.0,5866,164343.97
2023-07-25,14.0,7296.0,0.0,6692,188385.63999999998
2023-07-25,15.0,9924.0,0.0,7773,208712.73
2023-07-25,16.0,11870.0,0.0,6981,213736.38
2023-07-25,17.0,12828.0,0.0,6869,204615.53
2023-07-25,18.0,14022.0,0.0,6975,193524.1
2023-07-25,19.0,11702.0,0.0,5841,160583.84
2023-07-25,20.0,9992.0,0.0,5671,161119.59
2023-07-25,21.0,6600.0,0.0,6189,170342.32
2023-07-25,22.0,3900.0,0.0,5113,146915.38
2023-07-25,23.0,1294.0,0.0,3888,125777.45
2023-07-31,0.0,1046.0,0.0,1801,61576.28
2023-07-31,1.0,702.0,0.0,1326,43457.08
2023-07-31,2.0,246.0,0.0,605,17730.77
2023-07-31,3.0,194.0,0.0,360,13351.73
2023-07-31,4.0,490.0,0.0,379,15738.25
2023-07-31,5.0,1246.0,0.0,675,26528.27
2023-07-31,6.0,2610.0,0.0,1532,47563.18
2023-07-31,7.0,7182.0,0.0,2747,80878.3
2023-07-31,8.0,13130.0,0.0,4065,111032.38
2023-07-31,9.0,15738.0,0.0,4207,117531.13
2023-07-31,10.0,12706.0,0.0,4271,117678.91
2023-07-31,11.0,9166.0,0.0,4504,122986.53
2023-07-31,12.0,7712.0,0.0,4959,137118.59
2023-07-31,13.0,7362.0,0.0,5110,138167.25
2023-07-31,14.0,7620.0,0.0,5424,156765.29
2023-07-31,15.0,8840.0,0.0,5544,166481.37
2023-07-31,16.0,10886.0,0.0,5558,172437.63
2023-07-31,17.0,12082.0,0.0,5967,177480.14
2023-07-31,18.0,13328.0,0.0,6296,182830.64
2023-07-31,19.0,11172.0,0.0,5119,147203.6
2023-07-31,20.0,8036.0,0.0,4655,137881.3
2023-07-31,21.0,5198.0,0.0,4663,133718.48
2023-07-31,22.0,2934.0,0.0,3809,121473.44
2023-07-31,23.0,1138.0,0.0,2430,85206.83
2023-08-01,0.0,526.0,0.0,1428,49527.69
2023-08-01,1.0,364.0,0.0,732,26138.29
2023-08-01,2.0,156.0,0.0,380,10748.11
2023-08-01,3.0,108.0,0.0,219,7298.21
2023-08-01,4.0,240.0,0.0,298,12312.08
2023-08-01,5.0,764.0,0.0,639,23468.53
2023-08-01,6.0,2044.0,0.0,1621,46878.3
2023-08-01,7.0,6908.0,0.0,3053,80337.69
2023-08-01,8.0,13430.0,0.0,4697,121628.1
2023-08-01,9.0,15974.0,0.0,4757,125095.43
2023-08-01,10.0,13128.0,0.0,4763,128065.33
2023-08-01,11.0,9628.0,0.0,4992,132675.83
2023-08-01,12.0,7480.0,0.0,5635,150726.75
2023-08-01,13.0,382.0,0.0,5617,153674.75
